7	a	ἀδελφοῦ	possession
7	a	ἀδελφοί	subjects
7	a	στρατηγούς	direct objects
7	a	ἀδελφός	subject
7	a	ποταμοῖς	indirect objects
7	a	στρατηγῶν	possession (plural)
7	a	ποταμόν	direct object
7	a	στρατηγῷ	indirect object
			
7	b	ἦν στρατηγός	He was a general
7	b	ἔχει ἀδελφούς	He has brothers
7	b	παύουσι τὸν στρατηγόν	They stop the general
7	b	οἱ στρατηγοὶ ἦσαν ἀδελφοί	The generals were brothers
7	b	ἦν ποταμός	There was a river.
7	b	τῷ στρατηγῷ πέμπει τοὺς ἀδελφούς	He sends the brothers to the general
7	b	παύει τοὺς στρατηγούς	He stops the generals
7	b	πέμπουσι τὸν τοῦ στρατηγοῦ ἀδελφόν	They send the brother of the general
			
7	c	ὁ στρατηγ-- ἔχει αδελφ--	στρατηγὸς, ἀδελφόν
7	c	ἦσαν ποταμ--	ποταμοί
7	c	τοῖς στρατηγ-- πέμπουσι τοὺς ἀδελφ--	στρατηγοῖς, ἀδελφούς